Timestamp,Time,Temperature,Humidity,WindSpeed,Rainfall,FaultProbability,SOC1,SOC2,MainGridVoltage,MainGridCurrent,Batt1Voltage,Batt1Current,Batt2Voltage,Batt2Current,DCBusVoltage,GridSwitch,BatterySwitch1,BatterySwitch2,SW1,SW2,SW3,SW4,SW5,Crit1Voltage,Crit1Current,Crit2Voltage,Crit2Current,Crit3Voltage,Crit3Current,NonCrit1Voltage,NonCrit1Current,NonCrit2Voltage,NonCrit2Current,Crit1Power,Crit2Power,Crit3Power,NonCrit1Power,NonCrit2Power,Islanded,ActiveSource
2026-07-08T15:30:00Z,0,22,40,115,53,75.325,10,100,0,0,0,0,0,0,10.908696812918,1,0,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,grid
2026-07-08T15:30:00Z,0.1,22.02,40,115,52.97,75.337,9.99846153846154,100,2.154927132492,0.484512059621507,2.17523074520642,4.31446012574099e-07,2.17523074520642,4.31446515610052e-07,11.6321381151159,1,0,0,0,0,0,0,0,1.43740116582413,0.164973234361341,1.54498123803626,0.0634825978398933,1.61056559066968,0.00161056559036357,1.43740116582413,0.16497323436134,1.61056559066968,0.00161056559036357,0.23713271940077,0.0980794226044361,0.00259392152135616,0.237132719400769,0.00259392152135615,0,grid
2026-07-08T15:30:00Z,0.2,22.04,40,115,52.94,75.349,9.99692307692308,100,3.93361198652371,0.43855533898384,3.95615910158148,4.1345399120327e-07,3.95615910158148,4.13454403897474e-07,11.9810130248885,1,0,0,1,0,0,0,0,1.07171155923167,0.135093165942339,1.24432840283515,0.0519987290365186,1.34171186547808,0.00134171186522747,1.07171155923166,0.135093165942334,1.34171186547809,0.00134171186522747,0.144780907513606,0.0647034954514688,0.00180019072962843,0.144780907513601,0.00180019072962844,0,grid
2026-07-08T15:30:00Z,0.3,22.06,40,115,52.91,75.361,9.99538461538462,100,5.38059451798078,0.730832297086838,5.41425994635942,6.67506801900293e-07,5.41425994635942,6.67507139571682e-07,11.6759027917962,1,0,0,0,0,0,0,0,2.43199778814452,0.288985857992575,1.01922864629515,0.0425921342333497,1.11747191743239,0.00111747191722718,2.56976770833588,0.304798046940842,1.11747191743239,0.0011174719172272,0.702812967442988,0.0434111233174782,0.0012487434860207,0.783260178592419,0.00124874348602072,0,grid
2026-07-08T15:30:00Z,0.4,22.08,40,115,52.88,75.373,9.99384615384615,100,6.57510858527155,0.638065443714429,6.6080519739453,6.02309727819887e-07,6.6080519739453,6.02310002031882e-07,11.9809356501251,1,0,0,1,1,1,0,0,1.88602979142753,0.23662614925697,0.835036301900114,0.0348948635341358,0.938033135222234,0.000938033135054231,1.99882642271126,0.24957207489043,0.938033135222236,0.000938033135054245,0.446283966929423,0.0291384778008539,0.000879906162617261,0.498851257661866,0.000879906162617277,0,grid
2026-07-08T15:30:00Z,0.5,22.1,40,115,52.85,75.385,9.99230769230769,100,7.54117462327875,0.946328754090364,7.58544624007689,8.68067997757856e-07,7.58544624007689,8.68068224691503e-07,11.6068958382838,1,0,0,1,1,1,0,0,3.04480156963667,0.365887168991931,2.29649833545223,0.0948957490693544,2.44934860296811,0.0024493486028302,3.27465163362027,0.392263781152395,0.78630942330143,0.000786309423163916,1.11405382645655,0.217927929779265,0.00599930857852405,1.28452723176075,0.000618282509064499,0,grid
2026-07-08T15:30:00Z,0.6,22.12,40,115,52.82,75.397,9.99076923076923,100,8.33352475124042,1.0638325672601,8.38566900031661,9.88919668093736e-07,8.38566900031661,9.88919853892048e-07,11.7358159767932,1,0,0,1,1,1,0,0,4.12945940146061,0.487314451708811,3.63827350240955,0.15084828019382,3.83901650196972,0.00383901650185671,2.57594839576457,0.321179775243979,0.663747443105768,0.000663747442993218,2.01234524407657,0.548827300713227,0.014738047701962,0.827342526791752,0.00044056066815474,0,grid
2026-07-08T15:30:00Z,0.7,22.14,40,115,52.79,75.409,9.98923076923077,100,8.97789840062643,1.30518748679483,9.04083599709075,1.20757669268428e-06,9.04083599709075,1.2075768434376e-06,11.6063703140722,1,0,0,1,1,1,0,0,4.86872843525248,0.569614337013417,4.5767699621128,0.1901857907261,4.81004005868369,0.00481004005859085,3.7342518862014,0.449367050268738,0.561586088212826,0.000561586088121292,2.77329751974472,0.870436614215884,0.0231364853656952,1.67804975506279,0.00031537893442278,0,grid
2026-07-08T15:30:00Z,0.8,22.16,40,115,52.76,75.421,9.98769230769231,100,9.50979742567606,1.35757569081905,9.57724137692945,1.26693770839537e-06,9.57724137692945,1.26693783154027e-06,11.7358773268367,1,0,0,1,1,1,0,0,5.62289640720061,0.654040626323934,5.50525586035009,0.228867364961209,5.77184331635091,0.00577184331627553,2.95224949172465,0.367931979228117,0.479760144717312,0.000479760144642399,3.67760268792008,1.25997340219558,0.0333141752680696,1.08622699866545,0.000230169796423236,0,grid
2026-07-08T15:30:00Z,0.9,22.18,40,115,52.73,75.433,9.98615384615385,100,9.9409530614197,1.54559635210101,10.0164129666717,1.43511860043056e-06,10.0164129666717,1.43511870057498e-06,11.6064505139084,1,0,0,1,1,1,0,0,6.09162428438685,0.706051391761252,6.1054237742984,0.254066480768402,6.39260695373154,0.00639260695366968,4.04247094577669,0.487617261588043,0.410951137848523,0.000410951137787176,4.30099980407797,1.55118353193573,0.0408654236645013,1.97117861262885,0.000168880837673785,0,grid
